Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.008092,8.09E-06,4.87E+15,0.13731,0.0049863,0.063465,0.023065,0.0038292,0.023759
0.0081833,8.18E-06,4.93E+15,0.13795,0.0049034,0.061903,0.022616,0.0038632,0.023895
0.0082644,8.26E-06,4.98E+15,0.13631,0.0051005,0.062813,0.022616,0.0039631,0.023662
0.0083584,8.36E-06,5.04E+15,0.13703,0.0051674,0.061559,0.023162,0.0037768,0.023227
0.0084384,8.44E-06,5.08E+15,0.13728,0.0050951,0.060628,0.023474,0.0037264,0.023259
0.0085258,8.53E-06,5.14E+15,0.13617,0.0049226,0.061606,0.022765,0.0038936,0.023202
0.0086098,8.61E-06,5.19E+15,0.13566,0.0051296,0.061905,0.023208,0.0035763,0.023143
0.0086958,8.70E-06,5.24E+15,0.13678,0.0049823,0.061141,0.022412,0.0040767,0.023534
0.0087789,8.78E-06,5.29E+15,0.13597,0.0047659,0.06127,0.023099,0.0038002,0.023291
0.008866,8.87E-06,5.34E+15,0.13514,0.0048407,0.061227,0.022976,0.0036596,0.023167
0.008957,8.96E-06,5.40E+15,0.13434,0.0047242,0.061644,0.022424,0.0037117,0.022986
0.0090467,9.05E-06,5.45E+15,0.13444,0.0047592,0.060761,0.02289,0.0037947,0.022927
0.009134,9.13E-06,5.50E+15,0.1358,0.0048338,0.060241,0.023038,0.0036372,0.022551
0.0092209,9.22E-06,5.55E+15,0.13385,0.0048131,0.06067,0.022606,0.0037315,0.022157
0.0093079,9.31E-06,5.61E+15,0.13464,0.0047719,0.063155,0.022146,0.0035878,0.022331
0.0093948,9.39E-06,5.66E+15,0.13392,0.0045988,0.061955,0.022798,0.0034904,0.022138
0.0094784,9.48E-06,5.71E+15,0.13302,0.0047807,0.061807,0.021515,0.003671,0.022042
0.0095639,9.56E-06,5.76E+15,0.13205,0.0047816,0.060854,0.022817,0.0037985,0.022234
0.0096473,9.65E-06,5.81E+15,0.13254,0.0045742,0.063218,0.023208,0.0033532,0.021861
0.0097311,9.73E-06,5.86E+15,0.13111,0.0045661,0.060965,0.02222,0.0036369,0.021947
0.0098154,9.82E-06,5.91E+15,0.13285,0.0046094,0.060332,0.022281,0.0037066,0.02237
0.0099014,9.90E-06,5.96E+15,0.13227,0.0046804,0.061064,0.022015,0.0035861,0.02185
0.0099851,9.99E-06,6.02E+15,0.13212,0.0045275,0.062412,0.021815,0.0034495,0.021599
0.010069,1.01E-05,6.07E+15,0.13361,0.0044438,0.060375,0.02278,0.0035754,0.022034
0.010148,1.01E-05,6.11E+15,0.1306,0.0045177,0.06253,0.022092,0.0037105,0.021598
0.010227,1.02E-05,6.16E+15,0.13162,0.0044743,0.059887,0.021695,0.0035776,0.02207
0.010306,1.03E-05,6.21E+15,0.13115,0.0046484,0.060598,0.022354,0.0034827,0.021564
0.01039,1.04E-05,6.26E+15,0.13089,0.0045087,0.061188,0.022282,0.0037053,0.021293
0.010473,1.05E-05,6.31E+15,0.13042,0.0047239,0.060028,0.021948,0.0033935,0.021453
0.010558,1.06E-05,6.36E+15,0.13088,0.0046031,0.061442,0.021972,0.0032949,0.02149
0.010645,1.06E-05,6.41E+15,0.13045,0.0047372,0.059202,0.021666,0.0034805,0.021519
0.010731,1.07E-05,6.46E+15,0.1308,0.00447,0.060437,0.022241,0.0034568,0.021119
0.010814,1.08E-05,6.51E+15,0.1309,0.0045263,0.058787,0.021557,0.0036862,0.021432
